Quary,Answer
星级上云的项目。,"苏州市的支持政策发布时间是2021年9月1日。其政策名称是《苏州市推进制造业智能化改造、数字化转型措施》，其支持政策的类别是市级打造先进制造业基地专项资金项目申报关于组织2021年度苏州市市级打造先进制造业基地专项资金申报的通知-苏州市人民政府,其支持政策的具体内容是鼓励中小企业上云用平台：对完成省级三星级、四星级、五星级的上云企业分别给予不高于1万、5万、10万的一次性补贴。连云港市的支持政策发布时间是2022年6月15日。其政策名称是《关于组织申报助企纾困解难财政补贴资金工信类项目的通知》，其支持政策的具体内容是对于2021年度市区获得的三星级上云企业奖励2万元/家，四星级上云企业奖励6万元/家。
南京市的支持政策发布时间是2022年9月30日。其政策名称是关于组织开展2022年度第二批省星级上云企业创建工作的通知，其支持政策的具体内容是1、各项云服务均已连续使用不少于3个月且申报时仍在使用（上云时间计算截止到2022年9月30日，上云投入按2021年8月1日至2022年9月30日期间实际付款金额计算）。其支持政策的奖补情况是自2022年10月9日起，在江苏省工业互联网示范企业公共服务平台中填报申报信息，并严格按照星级上云企业申报要求如实在平台上传项目申报电子版材料（附件2、3、4），平台关闭日期为2022年10月28日。
宿迁市的支持政策发布时间是2021年。其政策名称是《宿迁市建设长三角先进制造业基地三年行动计划（2021－2023年）》，其支持政策的具体内容是1.对当年获省认定的五星级“上云”企业每户奖励20万元、四星级“上云”企业每户奖励10万元、三星级“上云”企业每户奖励5万元。
泰兴市的支持政策发布时间是2023年4月4日。其政策名称是《关于提升创新驱动能力推动高质量发展的若干政策措施》2020年11月23日，其支持政策的具体内容是。其政策名称是《关于提升创新驱动能力推动高质量发展的若干政策措施》2020年11月23日，其支持政策的具体内容是。其政策名称是《关于提升创新驱动能力推动高质量发展的若干政策措施》2020年11月23日，其支持政策的具体内容是。无锡市的支持政策发布时间是2023年5月9日。其政策名称是《关于发布2023年度无锡市工业转型升级资金项目指南及组织项目申报的通知》，其支持政策的具体内容是1.对获评省五星级上云企业的企业给予最高50万元的一次性奖励。
无锡市的支持政策发布时间是2022年3月30日。其政策名称是《无锡市加快智能化改造数字化转型绿色化提升若干政策措施》，其支持政策的具体内容是12.获评省五星级上云企业的企业给予最高50万元的一次性奖励，每年分档择优评选优秀星级上云服务商给予最高100万元的一次性奖励。
徐州市的支持政策发布时间是2022年10月9日。其政策名称是关于组织开展2022年度第二批星级上云企业创建申报工作的通知，其支持政策的具体内容是（一）基本条件。企业在徐州市内注册，具有独立的法人资格，并具备健全的财务管理机构和制度，信用良好、无违法记录。（二）上云形式和内容。三星级上云企业：应通过采购公有云服务（工业互联网平台）的形式上云，应用基础云服务及工业APP，将基础、设计、生产、物流、销售、服务等业务和数据向云端迁移，实现降本提质增效。四星级和五星级上云企业：应通过采购公有云服务（工业互联网平台）、自建私有云或以混合云形式上云。其中，四星级上云企业应通过高能耗设备、通用动力设备、新能源设备、智能装备等工业设备上云，结合边缘侧对数据处理和分析，实现设备管理、数据监控、决策优化等；五星级上云企业应基于基础云服务和设备上云，进一步应用云计算、大数据、物联网、人工智能、区块链等新一代信息技术，实现市场交易分析交易和预测、产品／设备远程监控与运维、产品质量管控及工艺优化等基于“数据＋模型”的创新应用。（三）申报要求。企业根据自身上云建设应用实际情况，可且只可申报三星级、四星级、五星级中任意一类星级上云企业。其中：未被评定为星级上云企业的可申报三星级、四星级上云企业中的任意一类星级上云企业；已评定为三星级上云企业的，可再次申报四星级上云企业；申报五星级上云企业须已评定为四星级上云企业；已经评定为星级上云企业的不得重复申报同一等次及以下星级上云企业。申报企业所填报的各项云服务均已连续使用不少于3个月且申报时仍在使用（上云时间计算截止到2022年9月30日）；上云投入按2021年8月1日至2022年9月30日期间实际付款金额计算。
扬州市的支持政策发布时间是2023年8月1日（更新时间：2023年8月1日）。其政策名称是《江苏省制造业智能化改造和数字化转型三年行动计划(2022-2024年)》《扬州市关于加快推进制造业智能化改造和数字化转型的实施意见》《扬州市“十四五”工业经济高质量发展规划》，其支持政策的具体内容是新获批省五星级上云企业，给予最高10万元的奖励。
镇江市的支持政策发布时间是2022年10月9日。其政策名称是关于组织开展2022年度第二批省星级上云企业创建工作的通知（市工信局），其支持政策的具体内容是江苏省工业互联网示范企业公共服务平台(简称：苏工服平台，)将于2022年10月9日开通。"
智能工厂、智能车间的项目。,"苏州市的支持政策发布时间是2021年3月。其政策名称是《苏州市推进制造业智能化改造、数字化转型措施》，其支持政策的类别是市级打造先进制造业基地专项资金项目申报关于组织2021年度苏州市市级打造先进制造业基地专项资金申报的通知-苏州市人民政府其支持政策规定的申报方式是线上+线下线上,向项目所在地工信部门提供纸质版申报材料，扫描上传申报材料（线上）其支持政策的具体内容是突出典型示范项目：获评省级智能制造示范车间最高奖励50万元；获评市级智能制造示范工厂最高奖励100万元；获评市级示范智能车间最高奖励20万元。
宿迁市的支持政策发布时间是2021年。其政策名称是《宿迁市建设长三角先进制造业基地三年行动计划（2021－2023年）》，其支持政策的具体内容是2.对获批省级示范智能工厂的，奖励200万元。对获批省级示范智能车间的奖励50万元，市级示范智能车间的择优奖励5万元。
无锡市的支持政策发布时间是2023年5月9日。其政策名称是《关于发布2023年度无锡市工业转型升级资金项目指南及组织项目申报的通知》，其支持政策的具体内容是2.对获得工信部智能制造示范工厂、智能车间等国家级智能制造领域相关荣誉的企业，给予最高100万元的一次性奖励。
徐州市的支持政策发布时间是2021年9月3日。其政策名称是2021年度市级技术改造专项资金申报指南，其支持政策的具体内容是五县（市）、铜山区（高新区）、贾汪区、经开区、鼓楼区、云龙区、泉山区、港务区获评2021年度省级智能制造示范车间的企业，每个省级示范智能车间奖励15万元。"
“5G+工业互联网”的项目。,"苏州市的支持政策发布时间是同资金申报项目。其政策名称是《苏州市推进制造业智能化改造、数字化转型措施》，其支持政策的类别是市级打造先进制造业基地专项资金项目申报关于组织2021年度苏州市市级打造先进制造业基地专项资金申报的通知-苏州市人民政府其支持政策规定的申报方式是线上+线下线上：苏州市财政专项资金申报平台2021年9月3日至2021年10月8日线下：向项目所在地工信部门提供纸质版申报材料，扫描上传申报材料（线上）其支持政策的具体内容是加快“5G+工业互联网”发展：重点推动5G在垂直行业的先导应用；对市级垂直行业试点示范项目给予最高100万元奖励；
连云港市的支持政策发布时间是2022年2月28日。其政策名称是《连云港市制造业智能化改造和数字化转型实施方案》（有效期三年），其支持政策的具体内容是对入选国家、省级、市级示范应用案例的试点示范项目分别给予最高50万元、30万元、10万元奖励。支持企业建设5G全连接工厂，对被认定为5G全连接工厂的企业给予最高100万元奖励。"
标识解析二级节点的项目。,"苏州市的支持政策发布时间是同资金申报项目。其政策名称是《苏州市推进制造业智能化改造、数字化转型措施》，其支持政策的类别是2021市级打造先进制造业基地专项资金项目申报关于组织2021年度苏州市市级打造先进制造业基地专项资金申报的通知-苏州市人民政府,其支持政策规定的申报方式是线上+线下线上：苏州市财政专项资金申报平台2021年9月3日至2021年10月8日线下：向项目所在地工信部门提供纸质版申报材料，扫描上传申报材料（线上）其支持政策的具体内容是加快工业互联网标识解析工作：对完成与国家顶级节点对接的二级节点建设单位，给予最高300万元的奖励；对实现年度新增标识注册量超过3000万、日均解析量超1000万次的二级节点运营单位，给予最高50万元的奖励。
连云港市的支持政策发布时间是2022年2月28日。其政策名称是《连云港市制造业智能化改造和数字化转型实施方案》（有效期三年），其支持政策的具体内容是加快推进标识解析二级节点建设和应用推广，对完成与国家顶级节点对接的新建二级节点建设单位，给予最高50万元奖励；对年度新增注册企业数达到年度目标任务的二级节点运营单位给予最高20万元奖励，对年度新增标识注册量、新增标识解析量完成年度目标任务的，给予二级节点运营单位最高60万元奖励。"
市级示范智能车间的项目。,苏州市的支持政策发布时间是2022年6月7日。其政策名称是关于做好2022年市级示范智能车间申报工作的通知，其支持政策规定的申报方式是申报企业填写申报书，盖章后报所在县级市（区）工信部门。各县级市（区）工信部门于6月24日前，将企业申报书、行文请示、汇总表、审核推荐表（均需盖章）各一式一份报送至市工信局，电子文档同步报送。其支持政策的具体内容是1、企业申报的示范智能车间已建成并正常投产使用，具有较好的经济效益。2、已获得3个及以上省、市级示范智能车间企业不再参与申报。一家企业本次不得同时申报2个及以上示范智能车间。3、智能设备台套（产线）和信息化软件等应用率超过70%，车间智能化装备及信息化软件累计投入不低于600万元。
专精特新“小巨人”企业的项目。,"苏州市的支持政策发布时间是2022年11月14日。其政策名称是2022年度扬州市中小企业发展专项资金项目申报指南，其支持政策规定的申报方式是申报企业填写申报书，盖章后报所在县级市（区）工信部门。各县级市（区）工信部门于6月24日前，将企业申报书、行文请示、汇总表、审核推荐表（均需盖章）各一式一份报送至市工信局，电子文档同步报送。其支持政策的具体内容是1.2021年新认定的国家级、省级专精特新“小巨人”企业。2.企业近三年主营业务收入平均增长3%以上。3.主导产品销售收入占主营业务收入比重50%以上，企业近三年研发投入占主营业务收入比重平均达3%以上。4.企业上年度用于创新升级、管理升级、安全升级的项目综合投入（包括关键技术研发、设备更新、购买专业化服务等）不低于300万元（不含税，须提供专项审计报告）。按不超过项目综合投入的10%予以补助，最高不超过50万元。
连云港市的支持政策发布时间是2021年8月30日。其政策名称是市政府印发关于深化创新型城市建设若干政策的通知，其支持政策的具体内容是获得国家级制造业单项冠军企业、专精特新小巨人企业的，分别给予100万元奖励；获得省“科技小巨人”企业的，给予50万元奖励。
南京市的支持政策发布时间是2021年11月19日。其政策名称是关于印发《南京市推动专精特新中小企业高质量发展行动方案》《关于加快发展专精特新中小企业的若干措施》的通知（自2021年11月23日起施行），其支持政策的具体内容是1、项目在2022年1月1日以后启动，且须在2022年底前建设完成并投入使用。其支持政策的奖补情况是项目申报采取网上申报方式进行，在南京市工业和信息化局官网或“宁企通”平台上，点击“南京市工业和信息化发展专项资金项目申报和监管平台”进入申报页面，在线填写项目申报表，并上传其他申报材料。网上申报受理时间为2022年10月25日至2022年11月10日，逾期不再受理申报。
徐州市的支持政策发布时间是2022年。其政策名称是《徐州市“专精特新”中小企业培育攻坚三年行动方案（2022-2024年）》，其支持政策的具体内容是国家级60万元，省级40万元，市级20万元。"
2022先进制造业基地专项资金的项目。,苏州市的支持政策发布时间是2022年9月5日。其政策名称是同去年，其支持政策的类别是关于组织2022年苏州市市级打造先进制造业基地专项资金项目申报的通知其支持政策规定的申报方式是线上+线下其支持政策的具体内容是龙头骨干企业培育/产业链核心技术攻关/智能化改造和数字化转型/绿色化改造升级/服务平台建设，扶持标准详见pdf
市重点软件企业复评及2023年度入库的项目。,苏州市的支持政策发布时间是2023年3月1日。其政策名称是关于开展苏州市重点软件企业复评及2023年度入库工作的通知，其支持政策规定的申报方式是线上+线下其支持政策的具体内容是一、基本要求（一）在苏州市依法注册设立，具有独立法人资格的企业，稳定经营满1年以上。（二）具备从事软件和信息服务业务的基础设备条件、人员团队和经营场地。 （三）符合以下条件之一： 1.主要从事软件和信息技术服务业务，主营业务年收入2000万元以上且软件业务收入比例不低于50%；2.开展嵌入式系统软件开发业务，嵌入式系统软件开发业务年收入2000万元以上且占企业主营业务收入比例不低于40%；3.主要从事基础软件、工业软件、信息安全、集成电路设计、工业互联网平台服务或数据服务，且软件业务（集成电路设计）年收入1000万元以上。二、工作流程1.已入库及新入库企业，需在3月31日前完成2022年度工信部软件和信息技术服务业统计年报工作。2.申报单位请于3月31日前填写完成申报书（附件1）并上报各县级市（区）主管部门。3.请各县级市（区）主管部门按通知要求，对申报材料认真审核，对2022年度入库企业（附件2）进行复评并出具复评报告，于4月6日前将申报材料（纸质材料、电子材料各一式一份）、入库企业汇总表（附件3）、复评报告（附件4）行文上报至我局。
市“近零碳”工厂（第二批）入库培育的项目。,"苏州市的支持政策发布时间是2023年3月30日。其政策名称是2023年度苏州市“近零碳”工厂（第二批）入库培育工作开始，其支持政策的类别是关于组织2022年苏州市市级打造先进制造业基地专项资金项目申报的通知,其支持政策规定的申报方式是线上+线下其支持政策的具体内容是一、培育主体    注册地为苏州市范围内，具有独立法人资格的工业企业。    二、入库条件    （一）企业依法设立，经营状况良好，有较强的行业影响力和市场竞争力。建立完善的质量管理体系、环境管理体系、职业健康安全管理体系、能源管理体系，各项管理制度健全。    （二）企业将低碳发展要求和绿色制造理念纳入发展战略，具备开展温室气体排放、产品生命周期碳足迹和环境影响分析评价的基础。    （三）企业符合绿色制造体系建设要求，拥有国家级或省级绿色工厂称号。    （四）符合国家和地方的法律法规及标准规范要求，近三年无以下情况：发生较大及以上生产安全和质量事故、Ⅲ级（较大）及以上突发环境污染事件，在国家、省、市级督察工作中发现存在严重问题，被列入工业节能监察整改名单且未完成整改等。三、有关要求（一）县级市（区）工信主管部门做好苏州市“近零碳”工厂入库和培育工作，选择管理层绿色意识强、降碳基础条件好的企业纳入培育计划，并加强服务指导，对照评价指标体系（附件1）对标找差，制定创建计划，针对性落实改进提升措施。（二）县级市（区）工信主管部门请于2023年4月14日前，将本地区2023年度苏州市“近零碳”工厂培育计划汇总表（附件2）报送市工信局节能与综合利用处。（三）县级市（区）工信主管部门须督促已获评企业制定落实绿色低碳发展工作年度目标及工作方案，推动企业持续降低碳排放，提升绿色制造水平。请各地区于2023年4月14日前将本地区相关企业的2022年度总结及2023年度计划（附件3）报送市工信局节能与综合利用处。 "
省级绿色工厂省级绿色工业园区的项目。,"苏州市的支持政策发布时间是2023年4月26日。其政策名称是第四批省级绿色工厂暨第一批省级绿色工业园区推荐工作开始，其支持政策的类别是关于组织2022年苏州市市级打造先进制造业基地专项资金项目申报的通知其支持政策规定的申报方式是线上+线下其支持政策的具体内容是一、基本条件2023年度省级绿色工厂、绿色工业园区名单遴选工作依照《关于印发江苏省绿色制造体系建设实施方案的通知》（苏经信节能〔2016〕725号）明确的推荐程序，按照“优中选优、宁缺毋滥”的原则，组织开展申报。近三年有下列情况的，不得申报绿色制造名单：未正常经营生产的；发生较大及以上安全（含网络安全、数据安全）、质量、环境污染等事故以及偷漏税等违法违规行为的；被动态调整出绿色制造名单的；在省级以上有关部门督查中发现存在严重问题的；被列入工业节能监察整改名单且未按要求完成整改的；被列为失信被执行人的。（一）绿色工厂各县级市（区）工信部门要根据本地区产业结构特点，遴选工作基础好、代表性强的企业进行申报。申报企业应为苏州大市内工商管理部门登记注册、从事生产经营并具有独立法人资格的企业，且生产经营状况良好，年销售收入在2亿元以上。评价请参照《关于印发江苏省绿色制造体系建设实施方案的通知》中的相关要求编写《江苏省绿色工厂评价报告》（附件1），已发布绿色工厂评价行业标准的（可登录工业和信息化部节能与综合利用司网站查看），需按照行业标准要求进行评价。（二）绿色工业园区各县级市（区）工信部门要组织工业基础好、基础设施完善、绿色制造水平高的工业园区进行申报，推荐的绿色工业园区需是以产品制造为主要功能、工业增加值占比超过50%、园区内省级以上绿色制造名单内企业占比5%以上、具有法定边界和范围、具备统一管理机构、在满足全部基本条件的前提下，园区绿色指数需在80分(含)以上的省级及以上工业园区。绿色工业园区申报请参照《关于印发江苏省绿色制造体系建设实施方案的通知》中的相关要求编写《江苏省绿色工业园区评价报告》（附件2）。2023年起，推荐国家级绿色工业园区将从省级认定的绿色工业园区中产生。二、推荐程序（一）组织评价满足基本条件且自愿申报的企业、工业园区，对照《绿色工厂评价通则》（GB/T36132-2018）、工信部发布的绿色工厂评价行业标准、《关于印发江苏省绿色制造体系建设实施方案的通知》等进行评价，并形成规范评价报告（附件1、2）。（二）初审推荐评价合格的企业、工业园区，向所在地工信部门提交评价报告。各县级市（区）工信部门对企业、工业园区提交的申报材料及绿色制造情况进行初审，符合条件的，正式行文向市工信局推荐。（三）评审确认省工信厅将按程序开展评审，对通过评审的企业、工业园区，在省工信厅官方网站公示5个工作日。公示无异议的企业、工业园区，列入江苏省第四批绿色工厂、第一批绿色工业园区名单。三、工作要求（一）各县级市（区）工信部门要结合本地区产业结构特点，绿色工厂的推荐需从列入2023年度绿色工厂创建培育计划名单中产生，选择行业代表性强、绿色制造基础好的龙头骨干企业或专业性强、特色鲜明、创新性高的中小企业，根据行业特点，突出关键绿色化指标的先进性，指导企业按照有关要求开展评价，编制评价报告，并切实加强对申报企业评价结果和证明材料的把关。（二）各县级市（区）工信部门要严把质量、择优推荐，并于7月14日前将本地区的绿色工厂、工业园区评价报告（附件1、2），绿色工厂、工业园区推荐汇总表（附件3、4），推荐文等申报材料（一式一份，同时报电子版）报送至苏州市工业和信息化局节能与综合利用处。（三）各县级市（区）工信部门切实加强对绿色制造名单内企业、工业园区的跟踪指导和动态管理，建立绿色制造水平关键指标定期报送机制，组织绿色制造名单企业、工业园区填报绿色制造动态管理表，并对动态管理表中明确的各项关键指标进行审核，对于绿色制造水平关键指标不符合绿色制造评价要求的，要组织进行现场评估，提出动态调整意见报市工信局。
南京市的支持政策发布时间是2023年4月25日。其政策名称是关于开展第四批省级绿色工厂暨第一批省级绿色工业园区推荐工作的通知（2023年4月26日），其支持政策的具体内容是一、基本条件2023年度省级绿色工厂、绿色工业园区名单遴选工作依照《关于印发江苏省绿色制造体系建设实施方案的通知》（苏经信节能〔2016〕725号）明确的推荐程序，按照“优中选优、宁缺毋滥”的原则，组织开展申报。近三年有下列情况的，不得申报绿色制造名单：未正常经营生产的；发生较大及以上安全（含网络安全、数据安全）、质量、环境污染等事故以及偷漏税等违法违规行为的；被动态调整出绿色制造名单的；在省级以上有关部门督查中发现存在严重问题的；被列入工业节能监察整改名单且未按要求完成整改的；被列为失信被执行人的。（一）绿色工厂。各板块要根据本地区产业结构特点，遴选工作基础好、代表性强的企业进行申报。申报企业应为市内工商管理部门登记注册、从事生产经营并具有独立法人资格的企业，且生产经营状况良好，年销售收入在2亿元以上。评价请参照《关于印发江苏省绿色制造体系建设实施方案的通知》中的相关要求编写《江苏省绿色工厂评价报告》（附件1），已发布绿色工厂评价行业标准的（可登录工业和信息化部节能与综合利用司网站查看），需按照行业标准要求进行评价。（二）绿色工业园区。各板块要组织工业基础好、基础设施完善、绿色制造水平高的工业园区进行申报，推荐的绿色工业园区需是以产品制造为主要功能、工业增加值占比超过50%、园区内省级以上绿色制造名单内企业占比超过5%、具有法定边界和范围、具备统一管理机构、在满足全部基本条件的前提下，园区绿色指数需在80分(含)以上的省级及以上工业园区。绿色工业园区申报请参照《关于印发江苏省绿色制造体系建设实施方案的通知》中的相关要求编写《江苏省绿色工业园区评价报告》（附件2）。2023年起，推荐国家级绿色工业园区将从省级认定的绿色工业园区中产生。，其支持政策的奖补情况是二、推荐程序（一）组织评价。满足基本条件且自愿申报的企业、工业园区，对照《绿色工厂评价通则（GB/T36132-2018）、工信部发布的绿色工厂评价行业标准、《关于印发江苏省绿色制造体系建设实施方案的通知》等进行评价，并形成规范评价报告（附件1、2）。（二）初审推荐。评价合格的企业、工业园区，向所在板块工信部门提交评价报告。各板块工信局对企业、工业园区提交的申报材料及绿色制造情况进行初审，符合条件的，正式行文向市工信局推荐。三、工作要求（一）各板块要结合本地区产业结构特点，绿色工厂的推荐需从列入2023年度绿色工厂创建培育计划名单中产生，选择行业代表性强、绿色制造基础好的龙头骨干企业或专业性强、特色鲜明、创新性高的中小企业，根据行业特点，突出关键绿色化指标的先进性，指导企业按照有关要求开展评价，编制评价报告，并切实加强对申报企业评价结果和证明材料的把关。（二）各地要严把质量、择优推荐，将绿色工厂、工业园区评价报告（附件1、2），绿色工厂、工业园区推荐汇总表（附件3、4），于2023年7月10日前连同申报材料（一式一份，同时报电子版）行文上报市工业和信息化局。（三）请各地区切实加强对已纳入绿色制造名单内的企业、工业园区的跟踪指导和动态管理，建立绿色制造水平关键指标定期报送机制，组织绿色制造名单企业、工业园区填报绿色制造动态管理表，并对动态管理表中明确的各项关键指标进行审核，对于绿色制造水平关键指标不符合绿色制造评价要求的，要将相关情况报市工信局。请于2023年4月28日前通过工业节能与绿色发展管理平台报送第七批国家级绿色制造名单和前三批省级绿色工厂名单的动态管理表。"
