2024-02-22 09:09:09 | INFO | model_worker | Loading the model ['chatglm3-6b'] on worker f169d9fa ...
2024-02-22 09:09:09 | ERROR | stderr | Loading checkpoint shards:   0%|          | 0/7 [00:00<?, ?it/s]
2024-02-22 09:09:10 | ERROR | stderr | Loading checkpoint shards:  14%|█▍        | 1/7 [00:00<00:01,  3.03it/s]
2024-02-22 09:09:10 | ERROR | stderr | Loading checkpoint shards:  29%|██▊       | 2/7 [00:00<00:01,  3.08it/s]
2024-02-22 09:09:10 | ERROR | stderr | Loading checkpoint shards:  43%|████▎     | 3/7 [00:00<00:01,  3.14it/s]
2024-02-22 09:09:10 | ERROR | stderr | Loading checkpoint shards:  57%|█████▋    | 4/7 [00:01<00:00,  3.14it/s]
2024-02-22 09:09:11 | ERROR | stderr | Loading checkpoint shards:  71%|███████▏  | 5/7 [00:01<00:00,  2.96it/s]
2024-02-22 09:09:11 | ERROR | stderr | Loading checkpoint shards:  86%|████████▌ | 6/7 [00:02<00:00,  2.75it/s]
2024-02-22 09:09:12 | ERROR | stderr | Loading checkpoint shards: 100%|██████████| 7/7 [00:02<00:00,  3.00it/s]
2024-02-22 09:09:12 | ERROR | stderr | Loading checkpoint shards: 100%|██████████| 7/7 [00:02<00:00,  2.99it/s]
2024-02-22 09:09:12 | ERROR | stderr | 
2024-02-22 09:09:15 | INFO | model_worker | Register to controller
2024-02-22 09:09:15 | ERROR | stderr | INFO:     Started server process [1619292]
2024-02-22 09:09:15 | ERROR | stderr | INFO:     Waiting for application startup.
2024-02-22 09:09:15 | ERROR | stderr | INFO:     Application startup complete.
2024-02-22 09:09:15 | ERROR | stderr | INFO:     Uvicorn running on http://0.0.0.0:20002 (Press CTRL+C to quit)
2024-02-22 09:09:56 | INFO | stdout | INFO:     127.0.0.1:42304 - "POST /worker_get_conv_template HTTP/1.1" 200 OK
2024-02-22 09:09:56 | INFO | stdout | INFO:     127.0.0.1:42306 - "POST /model_details HTTP/1.1" 200 OK
2024-02-22 09:09:56 | INFO | stdout | INFO:     127.0.0.1:42318 - "POST /count_token HTTP/1.1" 200 OK
2024-02-22 09:09:56 | INFO | stdout | INFO:     127.0.0.1:42324 - "POST /worker_generate_stream HTTP/1.1" 200 OK
2024-02-22 09:10:00 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1. worker_id: f169d9fa. 
2024-02-22 09:10:04 | INFO | stdout | INFO:     127.0.0.1:42334 - "POST /model_details HTTP/1.1" 200 OK
2024-02-22 09:10:04 | INFO | stdout | INFO:     127.0.0.1:42348 - "POST /count_token HTTP/1.1" 200 OK
2024-02-22 09:10:04 | INFO | stdout | INFO:     127.0.0.1:42358 - "POST /worker_generate_stream HTTP/1.1" 200 OK
2024-02-22 09:10:13 | INFO | stdout | INFO:     127.0.0.1:34150 - "POST /model_details HTTP/1.1" 200 OK
2024-02-22 09:10:13 | INFO | stdout | INFO:     127.0.0.1:34158 - "POST /count_token HTTP/1.1" 200 OK
2024-02-22 09:10:13 | INFO | stdout | INFO:     127.0.0.1:34164 - "POST /worker_generate_stream HTTP/1.1" 200 OK
2024-02-22 09:10:20 | INFO | stdout | INFO:     127.0.0.1:39624 - "POST /model_details HTTP/1.1" 200 OK
2024-02-22 09:10:20 | INFO | stdout | INFO:     127.0.0.1:39632 - "POST /count_token HTTP/1.1" 200 OK
2024-02-22 09:10:20 | INFO | stdout | INFO:     127.0.0.1:39634 - "POST /worker_generate_stream HTTP/1.1" 200 OK
2024-02-22 09:10:45 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: f169d9fa. 
2024-02-22 09:11:30 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: f169d9fa. 
2024-02-22 09:12:15 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: f169d9fa. 
2024-02-22 09:13:00 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 4. worker_id: f169d9fa. 
2024-02-22 09:13:37 | INFO | stdout | INFO:     127.0.0.1:49510 - "POST /model_details HTTP/1.1" 200 OK
2024-02-22 09:13:37 | INFO | stdout | INFO:     127.0.0.1:49524 - "POST /count_token HTTP/1.1" 200 OK
2024-02-22 09:13:37 | INFO | stdout | INFO:     127.0.0.1:49534 - "POST /worker_generate_stream HTTP/1.1" 200 OK
